date,location,admission_count,disease_severity,is_weekend,is_holiday,year,month,day,day_of_week,day_of_year,week_of_year,quarter,population,admissions_per_100k
2017-01-04,Ludhiana Central,5,1.4827586206896552,0,0,2017,1,4,2,4,1,1,500000.0,1.0
2017-01-04,Ludhiana South,7,1.4482758620689655,0,0,2017,1,4,2,4,1,1,500000.0,1.4
2017-01-04,Punjab Urban,9,1.5,0,0,2017,1,4,2,4,1,1,500000.0,1.8
2017-01-05,Ludhiana Central,6,1.4827586206896552,0,0,2017,1,5,3,5,1,1,500000.0,1.2
2017-01-05,Ludhiana South,4,1.4482758620689655,0,0,2017,1,5,3,5,1,1,500000.0,0.7999999999999999
2017-01-05,Punjab Urban,9,1.5,0,0,2017,1,5,3,5,1,1,500000.0,1.8
2017-01-06,Ludhiana Central,6,1.5,0,0,2017,1,6,4,6,1,1,500000.0,1.2
2017-01-06,Ludhiana South,5,1.4482758620689655,0,0,2017,1,6,4,6,1,1,500000.0,1.0
2017-01-06,Punjab Urban,6,1.5,0,0,2017,1,6,4,6,1,1,500000.0,1.2
2017-01-07,Ludhiana Central,4,1.5,1,0,2017,1,7,5,7,1,1,500000.0,0.7999999999999999
2017-01-07,Ludhiana South,3,1.5,1,0,2017,1,7,5,7,1,1,500000.0,0.6
2017-01-07,Punjab Urban,4,1.5,1,0,2017,1,7,5,7,1,1,500000.0,0.7999999999999999
2017-01-08,Ludhiana Central,8,1.5,1,0,2017,1,8,6,8,1,1,500000.0,1.5999999999999999
2017-01-08,Ludhiana South,8,1.5,1,0,2017,1,8,6,8,1,1,500000.0,1.5999999999999999
2017-01-08,Punjab Urban,9,1.5,1,0,2017,1,8,6,8,1,1,500000.0,1.8
2017-01-09,Ludhiana Central,3,1.5,0,0,2017,1,9,0,9,2,1,500000.0,0.6
2017-01-09,Ludhiana South,9,1.5,0,0,2017,1,9,0,9,2,1,500000.0,1.8
2017-01-09,Punjab Urban,6,1.5,0,0,2017,1,9,0,9,2,1,500000.0,1.2
2017-01-10,Ludhiana Central,5,1.5,0,0,2017,1,10,1,10,2,1,500000.0,1.0
2017-01-10,Ludhiana South,3,1.5,0,0,2017,1,10,1,10,2,1,500000.0,0.6
2017-01-10,Punjab Urban,7,1.5,0,0,2017,1,10,1,10,2,1,500000.0,1.4
2017-01-11,Ludhiana Central,3,1.5,0,0,2017,1,11,2,11,2,1,500000.0,0.6
