ds,y,is_weekend,month,disease_severity,location
2017-01-04,5,0,1,1.4827586206896552,Ludhiana Central
2017-01-05,6,0,1,1.4827586206896552,Ludhiana Central
2017-01-06,6,0,1,1.5,Ludhiana Central
2017-01-07,4,1,1,1.5,Ludhiana Central
2017-01-08,8,1,1,1.5,Ludhiana Central
2017-01-09,3,0,1,1.5,Ludhiana Central
2017-01-10,5,0,1,1.5,Ludhiana Central
2017-01-11,3,0,1,1.5,Ludhiana Central
2017-01-12,8,0,1,1.5,Ludhiana Central
2017-01-13,8,0,1,1.5,Ludhiana Central
2017-01-14,8,1,1,1.5,Ludhiana Central
2017-01-15,8,1,1,1.5,Ludhiana Central
2017-01-16,8,0,1,1.5,Ludhiana Central
2017-01-17,8,0,1,1.5,Ludhiana Central
2017-01-18,8,0,1,1.5,Ludhiana Central
2017-01-19,8,0,1,1.5,Ludhiana Central
2017-01-20,8,0,1,1.5,Ludhiana Central
2017-01-21,8,1,1,1.5,Ludhiana Central
2017-01-22,8,1,1,1.5,Ludhiana Central
2017-01-23,8,0,1,1.5,Ludhiana Central
2017-01-24,8,0,1,1.5,Ludhiana Central
2017-01-25,8,0,1,1.5,Ludhiana Central
2017-01-26,8,0,1,1.5,Ludhiana Central
2017-01-27,8,0,1,1.5,Ludhiana Central
2017-01-28,8,1,1,1.5,Ludhiana Central
2017-01-29,8,1,1,1.5,Ludhiana Central
2017-01-30,8,0,1,1.5,Ludhiana Central
2017-01-31,8,0,1,1.5,Ludhiana Central
2017-02-01,8,0,2,1.5,Ludhiana Central
2017-02-02,8,0,2,1.5,Ludhiana Central
2017-02-03,8,0,2,1.5,Ludhiana Central
2017-02-04,8,1,2,1.5,Ludhiana Central
2017-02-05,3,1,2,1.5,Ludhiana Central
2017-02-06,6,0,2,1.5,Ludhiana Central
2017-02-07,3,0,2,1.4482758620689655,Ludhiana Central
2017-02-08,4,0,2,1.5,Ludhiana Central
2017-02-09,2,0,2,1.5,Ludhiana Central
2017-02-10,7,0,2,1.5,Ludhiana Central
2017-02-11,4,1,2,1.4827586206896552,Ludhiana Central
2017-02-12,5,1,2,1.5,Ludhiana Central
2017-02-13,5,0,2,1.5,Ludhiana Central
2017-02-14,5,0,2,1.5,Ludhiana Central
2017-02-15,5,0,2,1.5,Ludhiana Central
2017-02-16,5,0,2,1.5,Ludhiana Central
2017-02-17,5,0,2,1.5,Ludhiana Central
2017-02-18,5,1,2,1.5,Ludhiana Central
2017-02-19,5,1,2,1.5,Ludhiana Central
2017-02-20,5,0,2,1.5,Ludhiana Central
2017-02-21,5,0,2,1.5,Ludhiana Central
2017-02-22,5,0,2,1.5,Ludhiana Central
2017-02-23,5,0,2,1.5,Ludhiana Central
2017-02-24,5,0,2,1.5,Ludhiana Central
2017-02-25,5,1,2,1.5,Ludhiana Central
2017-02-26,5,1,2,1.5,Ludhiana Central
2017-02-27,5,0,2,1.5,Ludhiana Central
2017-02-28,5,0,2,1.5,Ludhiana Central
2017-03-01,5,0,3,1.5,Ludhiana Central
2017-03-02,5,0,3,1.5,Ludhiana Central
2017-03-03,5,0,3,1.5,Ludhiana Central
2017-03-04,5,1,3,1.4827586206896552,Ludhiana Central
2017-03-05,6,1,3,1.5,Ludhiana Central
2017-03-06,8,0,3,1.4482758620689655,Ludhiana Central
2017-03-07,4,0,3,1.5,Ludhiana Central
2017-03-08,4,0,3,1.5,Ludhiana Central
2017-03-09,1,0,3,1.5,Ludhiana Central
2017-03-10,6,0,3,1.5,Ludhiana Central
2017-03-11,3,1,3,1.5,Ludhiana Central
2017-03-12,2,1,3,1.4482758620689655,Ludhiana Central
2017-03-13,2,0,3,1.4482758620689655,Ludhiana Central
2017-03-14,2,0,3,1.4482758620689655,Ludhiana Central
2017-03-15,2,0,3,1.4482758620689655,Ludhiana Central
2017-03-16,2,0,3,1.4482758620689655,Ludhiana Central
2017-03-17,2,0,3,1.4482758620689655,Ludhiana Central
2017-03-18,1,1,3,1.4482758620689655,Ludhiana Central
2017-03-19,1,1,3,1.4482758620689655,Ludhiana Central
2017-03-20,1,0,3,1.4482758620689655,Ludhiana Central
2017-03-21,1,0,3,1.4482758620689655,Ludhiana Central
2017-03-22,1,0,3,1.4482758620689655,Ludhiana Central
2017-03-23,1,0,3,1.4482758620689655,Ludhiana Central
2017-03-24,1,0,3,1.4482758620689655,Ludhiana Central
2017-03-25,1,1,3,1.4482758620689655,Ludhiana Central
2017-03-26,1,1,3,1.4482758620689655,Ludhiana Central
2017-03-27,0,0,3,1.4482758620689655,Ludhiana Central
2017-03-28,0,0,3,1.4482758620689655,Ludhiana Central
2017-03-29,0,0,3,1.4482758620689655,Ludhiana Central
2017-03-30,0,0,3,1.4482758620689655,Ludhiana Central
2017-03-31,0,0,3,1.4482758620689655,Ludhiana Central
2017-04-01,0,1,4,1.5,Ludhiana Central
2017-04-02,1,1,4,1.5,Ludhiana Central
2017-04-03,4,0,4,1.5,Ludhiana Central
2017-04-04,7,0,4,1.5,Ludhiana Central
2017-04-05,3,0,4,1.5,Ludhiana Central
2017-04-06,5,0,4,1.5,Ludhiana Central
2017-04-07,4,0,4,1.4827586206896552,Ludhiana Central
2017-04-08,4,1,4,1.5,Ludhiana Central
2017-04-09,6,1,4,1.5,Ludhiana Central
2017-04-10,6,0,4,1.4482758620689655,Ludhiana Central
2017-04-11,4,0,4,1.5,Ludhiana Central
2017-04-12,5,0,4,1.5,Ludhiana Central
2017-04-13,4,0,4,1.5,Ludhiana Central
2017-04-14,4,0,4,1.5,Ludhiana Central
2017-04-15,4,1,4,1.5,Ludhiana Central
2017-04-16,3,1,4,1.5,Ludhiana Central
2017-04-17,2,0,4,1.5,Ludhiana Central
2017-04-18,2,0,4,1.5,Ludhiana Central
2017-04-19,2,0,4,1.5,Ludhiana Central
2017-04-20,1,0,4,1.5,Ludhiana Central
2017-04-21,0,0,4,1.5,Ludhiana Central
2017-04-22,0,1,4,1.5,Ludhiana Central
2017-04-23,0,1,4,1.5,Ludhiana Central
2017-04-24,0,0,4,1.5,Ludhiana Central
2017-04-25,0,0,4,1.5,Ludhiana Central
2017-04-26,0,0,4,1.5,Ludhiana Central
2017-04-27,0,0,4,1.5,Ludhiana Central
2017-04-28,0,0,4,1.5,Ludhiana Central
2017-04-29,0,1,4,1.5,Ludhiana Central
2017-04-30,1,1,4,1.5,Ludhiana Central
2017-05-01,1,0,5,1.5,Ludhiana Central
2017-05-02,1,0,5,1.5,Ludhiana Central
2017-05-03,1,0,5,1.5,Ludhiana Central
2017-05-04,1,0,5,1.5,Ludhiana Central
2017-05-05,3,0,5,1.5,Ludhiana Central
2017-05-06,9,1,5,1.4827586206896552,Ludhiana Central
2017-05-07,8,1,5,1.5,Ludhiana Central
2017-05-08,7,0,5,1.5,Ludhiana Central
2017-05-09,7,0,5,1.5,Ludhiana Central
2017-05-10,6,0,5,1.5,Ludhiana Central
2017-05-11,4,0,5,1.5,Ludhiana Central
2017-05-12,9,0,5,1.5,Ludhiana Central
2017-05-13,9,1,5,1.5,Ludhiana Central
2017-05-14,9,1,5,1.5,Ludhiana Central
2017-05-15,8,0,5,1.5,Ludhiana Central
2017-05-16,8,0,5,1.5,Ludhiana Central
2017-05-17,8,0,5,1.5,Ludhiana Central
2017-05-18,8,0,5,1.5,Ludhiana Central
2017-05-19,8,0,5,1.5,Ludhiana Central
2017-05-20,8,1,5,1.5,Ludhiana Central
2017-05-21,7,1,5,1.5,Ludhiana Central
2017-05-22,7,0,5,1.5,Ludhiana Central
2017-05-23,7,0,5,1.5,Ludhiana Central
2017-05-24,7,0,5,1.5,Ludhiana Central
2017-05-25,7,0,5,1.5,Ludhiana Central
2017-05-26,7,0,5,1.5,Ludhiana Central
2017-05-27,6,1,5,1.5,Ludhiana Central
2017-05-28,6,1,5,1.5,Ludhiana Central
2017-05-29,6,0,5,1.5,Ludhiana Central
2017-05-30,6,0,5,1.5,Ludhiana Central
2017-05-31,6,0,5,1.5,Ludhiana Central
2017-06-01,6,0,6,1.5,Ludhiana Central
2017-06-02,5,0,6,1.5,Ludhiana Central
2017-06-03,5,1,6,1.5,Ludhiana Central
2017-06-04,5,1,6,1.5,Ludhiana Central
2017-06-05,5,0,6,1.5,Ludhiana Central
2017-06-06,8,0,6,1.5,Ludhiana Central
2017-06-07,5,0,6,1.5,Ludhiana Central
2017-06-08,9,0,6,1.5,Ludhiana Central
2017-06-09,9,0,6,1.4827586206896552,Ludhiana Central
2017-06-10,7,1,6,1.5,Ludhiana Central
2017-06-11,5,1,6,1.5,Ludhiana Central
2017-06-12,3,0,6,1.4827586206896552,Ludhiana Central
2017-06-13,3,0,6,1.4827586206896552,Ludhiana Central
2017-06-14,3,0,6,1.4827586206896552,Ludhiana Central
2017-06-15,2,0,6,1.4827586206896552,Ludhiana Central
2017-06-16,2,0,6,1.4827586206896552,Ludhiana Central
2017-06-17,2,1,6,1.4827586206896552,Ludhiana Central
