ds,y,is_weekend,month,disease_severity
2024-01-01,90,0,1,2.357142857142857
2024-01-02,182,0,1,2.176470588235294
2024-01-03,162,0,1,2.176470588235294
2024-01-04,209,0,1,2.142857142857143
2024-01-05,184,0,1,2.212121212121212
2024-01-06,131,1,1,2.2580645161290325
2024-01-07,137,1,1,2.21875
2024-01-08,204,0,1,2.176470588235294
2024-01-09,209,0,1,2.212121212121212
2024-01-10,186,0,1,2.176470588235294
2024-01-11,183,0,1,2.176470588235294
2024-01-12,171,0,1,2.142857142857143
2024-01-13,137,1,1,2.21875
2024-01-14,113,1,1,2.1875
2024-01-15,176,0,1,2.176470588235294
2024-01-16,191,0,1,2.1875
2024-01-17,226,0,1,2.1875
2024-01-18,196,0,1,2.176470588235294
2024-01-19,210,0,1,2.212121212121212
2024-01-20,141,1,1,2.21875
2024-01-21,133,1,1,2.2580645161290325
2024-01-22,215,0,1,2.176470588235294
2024-01-23,178,0,1,2.176470588235294
2024-01-24,194,0,1,2.212121212121212
2024-01-25,217,0,1,2.142857142857143
2024-01-26,216,0,1,2.176470588235294
2024-01-27,131,1,1,2.21875
2024-01-28,146,1,1,2.21875
2024-01-29,184,0,1,2.142857142857143
2024-01-30,190,0,1,2.176470588235294
2024-01-31,239,0,1,2.176470588235294
2024-02-01,214,0,2,2.176470588235294
2024-02-02,215,0,2,2.176470588235294
2024-02-03,158,1,2,2.212121212121212
2024-02-04,124,1,2,2.25
2024-02-05,197,0,2,2.176470588235294
2024-02-06,216,0,2,2.176470588235294
2024-02-07,238,0,2,2.212121212121212
2024-02-08,246,0,2,2.212121212121212
2024-02-09,204,0,2,2.176470588235294
2024-02-10,165,1,2,2.25
2024-02-11,138,1,2,2.176470588235294
2024-02-12,212,0,2,2.142857142857143
2024-02-13,235,0,2,2.176470588235294
2024-02-14,241,0,2,2.176470588235294
2024-02-15,240,0,2,2.142857142857143
2024-02-16,217,0,2,2.212121212121212
2024-02-17,155,1,2,2.25
2024-02-18,149,1,2,2.212121212121212
2024-02-19,215,0,2,2.142857142857143
2024-02-20,246,0,2,2.176470588235294
2024-02-21,246,0,2,2.142857142857143
2024-02-22,233,0,2,2.176470588235294
2024-02-23,216,0,2,2.1818181818181817
2024-02-24,169,1,2,2.212121212121212
2024-02-25,167,1,2,2.1818181818181817
2024-02-26,236,0,2,2.212121212121212
2024-02-27,194,0,2,2.176470588235294
2024-02-28,266,0,2,2.176470588235294
2024-02-29,216,0,2,2.176470588235294
2024-03-01,208,0,3,2.142857142857143
2024-03-02,175,1,3,2.1818181818181817
2024-03-03,169,1,3,2.21875
2024-03-04,262,0,3,2.142857142857143
2024-03-05,236,0,3,2.142857142857143
2024-03-06,225,0,3,2.176470588235294
2024-03-07,176,0,3,2.142857142857143
2024-03-08,265,0,3,2.142857142857143
2024-03-09,163,1,3,2.25
2024-03-10,172,1,3,2.25
2024-03-11,244,0,3,2.176470588235294
2024-03-12,243,0,3,2.142857142857143
2024-03-13,239,0,3,2.142857142857143
2024-03-14,267,0,3,2.1470588235294117
2024-03-15,292,0,3,2.142857142857143
2024-03-16,144,1,3,2.176470588235294
2024-03-17,153,1,3,2.176470588235294
2024-03-18,244,0,3,2.142857142857143
2024-03-19,190,0,3,2.176470588235294
2024-03-20,263,0,3,2.142857142857143
2024-03-21,270,0,3,2.142857142857143
2024-03-22,268,0,3,2.142857142857143
2024-03-23,151,1,3,2.1875
2024-03-24,148,1,3,2.212121212121212
2024-03-25,231,0,3,2.176470588235294
2024-03-26,260,0,3,2.176470588235294
2024-03-27,223,0,3,2.142857142857143
2024-03-28,182,0,3,2.176470588235294
2024-03-29,262,0,3,2.176470588235294
2024-03-30,184,1,3,2.212121212121212
2024-03-31,143,1,3,2.21875
