ds,y,is_weekend,month,disease_severity
2024-01-01,73,0,1,2.4074074074074074
2024-01-02,190,0,1,2.176470588235294
2024-01-03,181,0,1,2.1818181818181817
2024-01-04,161,0,1,2.1818181818181817
2024-01-05,168,0,1,2.1818181818181817
2024-01-06,121,1,1,2.357142857142857
2024-01-07,102,1,1,2.2
2024-01-08,165,0,1,2.21875
2024-01-09,162,0,1,2.176470588235294
2024-01-10,155,0,1,2.25
2024-01-11,150,0,1,2.212121212121212
2024-01-12,149,0,1,2.212121212121212
2024-01-13,94,1,1,2.225806451612903
2024-01-14,111,1,1,2.21875
2024-01-15,126,0,1,2.1818181818181817
2024-01-16,122,0,1,2.212121212121212
2024-01-17,164,0,1,2.212121212121212
2024-01-18,182,0,1,2.1818181818181817
2024-01-19,182,0,1,2.2333333333333334
2024-01-20,128,1,1,2.3448275862068964
2024-01-21,121,1,1,2.3448275862068964
2024-01-22,177,0,1,2.1818181818181817
2024-01-23,194,0,1,2.1818181818181817
2024-01-24,203,0,1,2.176470588235294
2024-01-25,192,0,1,2.212121212121212
2024-01-26,194,0,1,2.212121212121212
2024-01-27,138,1,1,2.225806451612903
2024-01-28,114,1,1,2.357142857142857
2024-01-29,203,0,1,2.21875
2024-01-30,218,0,1,2.176470588235294
2024-01-31,160,0,1,2.212121212121212
2024-02-01,171,0,2,2.176470588235294
2024-02-02,177,0,2,2.176470588235294
2024-02-03,145,1,2,2.3448275862068964
2024-02-04,132,1,2,2.21875
2024-02-05,214,0,2,2.176470588235294
2024-02-06,202,0,2,2.176470588235294
2024-02-07,212,0,2,2.176470588235294
2024-02-08,160,0,2,2.176470588235294
2024-02-09,196,0,2,2.212121212121212
2024-02-10,127,1,2,2.21875
2024-02-11,106,1,2,2.2580645161290325
2024-02-12,158,0,2,2.176470588235294
2024-02-13,170,0,2,2.1818181818181817
2024-02-14,201,0,2,2.212121212121212
2024-02-15,205,0,2,2.212121212121212
2024-02-16,149,0,2,2.176470588235294
2024-02-17,115,1,2,2.3448275862068964
2024-02-18,120,1,2,2.2580645161290325
2024-02-19,196,0,2,2.1818181818181817
2024-02-20,171,0,2,2.176470588235294
2024-02-21,158,0,2,2.176470588235294
2024-02-22,217,0,2,2.176470588235294
2024-02-23,199,0,2,2.176470588235294
2024-02-24,137,1,2,2.21875
2024-02-25,107,1,2,2.212121212121212
2024-02-26,214,0,2,2.176470588235294
2024-02-27,222,0,2,2.142857142857143
2024-02-28,226,0,2,2.212121212121212
2024-02-29,219,0,2,2.176470588235294
2024-03-01,187,0,3,2.176470588235294
2024-03-02,112,1,3,2.225806451612903
2024-03-03,143,1,3,2.225806451612903
2024-03-04,193,0,3,2.212121212121212
2024-03-05,246,0,3,2.212121212121212
2024-03-06,190,0,3,2.176470588235294
2024-03-07,208,0,3,2.176470588235294
2024-03-08,240,0,3,2.21875
2024-03-09,142,1,3,2.21875
2024-03-10,136,1,3,2.21875
2024-03-11,190,0,3,2.142857142857143
2024-03-12,182,0,3,2.176470588235294
2024-03-13,174,0,3,2.176470588235294
2024-03-14,239,0,3,2.142857142857143
2024-03-15,210,0,3,2.176470588235294
2024-03-16,131,1,3,2.21875
2024-03-17,154,1,3,2.21875
2024-03-18,233,0,3,2.142857142857143
2024-03-19,184,0,3,2.212121212121212
2024-03-20,186,0,3,2.212121212121212
2024-03-21,232,0,3,2.212121212121212
2024-03-22,217,0,3,2.142857142857143
2024-03-23,141,1,3,2.212121212121212
2024-03-24,127,1,3,2.212121212121212
2024-03-25,222,0,3,2.176470588235294
2024-03-26,207,0,3,2.176470588235294
2024-03-27,274,0,3,2.142857142857143
2024-03-28,213,0,3,2.176470588235294
2024-03-29,220,0,3,2.212121212121212
2024-03-30,129,1,3,2.2580645161290325
2024-03-31,126,1,3,2.1818181818181817
