ds,y,is_weekend,month,disease_severity
2024-01-01,238,0,1,2.142857142857143
2024-01-02,348,0,1,2.142857142857143
2024-01-03,308,0,1,2.142857142857143
2024-01-04,369,0,1,2.142857142857143
2024-01-05,312,0,1,2.142857142857143
2024-01-06,256,1,1,2.142857142857143
2024-01-07,307,1,1,2.142857142857143
2024-01-08,367,0,1,2.142857142857143
2024-01-09,332,0,1,2.1515151515151514
2024-01-10,395,0,1,2.142857142857143
2024-01-11,384,0,1,2.142857142857143
2024-01-12,367,0,1,2.176470588235294
2024-01-13,274,1,1,2.142857142857143
2024-01-14,285,1,1,2.142857142857143
2024-01-15,320,0,1,2.142857142857143
2024-01-16,381,0,1,2.142857142857143
2024-01-17,447,0,1,2.142857142857143
2024-01-18,385,0,1,2.176470588235294
2024-01-19,360,0,1,2.1515151515151514
2024-01-20,232,1,1,2.142857142857143
2024-01-21,294,1,1,2.176470588235294
2024-01-22,394,0,1,2.142857142857143
2024-01-23,411,0,1,2.142857142857143
2024-01-24,398,0,1,2.142857142857143
2024-01-25,359,0,1,2.142857142857143
2024-01-26,378,0,1,2.1515151515151514
2024-01-27,256,1,1,2.176470588235294
2024-01-28,262,1,1,2.176470588235294
2024-01-29,395,0,1,2.142857142857143
2024-01-30,392,0,1,2.142857142857143
2024-01-31,398,0,1,2.142857142857143
2024-02-01,391,0,2,2.142857142857143
2024-02-02,388,0,2,2.142857142857143
2024-02-03,338,1,2,2.142857142857143
2024-02-04,290,1,2,2.142857142857143
2024-02-05,429,0,2,2.142857142857143
2024-02-06,358,0,2,2.15625
2024-02-07,378,0,2,2.1515151515151514
2024-02-08,464,0,2,2.142857142857143
2024-02-09,364,0,2,2.1515151515151514
2024-02-10,240,1,2,2.142857142857143
2024-02-11,324,1,2,2.142857142857143
2024-02-12,431,0,2,2.142857142857143
2024-02-13,395,0,2,2.142857142857143
2024-02-14,432,0,2,2.142857142857143
2024-02-15,446,0,2,2.142857142857143
2024-02-16,442,0,2,2.142857142857143
2024-02-17,302,1,2,2.142857142857143
2024-02-18,336,1,2,2.142857142857143
2024-02-19,403,0,2,2.1515151515151514
2024-02-20,323,0,2,2.1515151515151514
2024-02-21,474,0,2,2.142857142857143
2024-02-22,357,0,2,2.15625
2024-02-23,432,0,2,2.142857142857143
2024-02-24,357,1,2,2.142857142857143
2024-02-25,281,1,2,2.142857142857143
2024-02-26,418,0,2,2.142857142857143
2024-02-27,373,0,2,2.15625
2024-02-28,399,0,2,2.142857142857143
2024-02-29,364,0,2,2.1515151515151514
2024-03-01,395,0,3,2.15625
2024-03-02,336,1,3,2.176470588235294
2024-03-03,315,1,3,2.176470588235294
2024-03-04,422,0,3,2.1515151515151514
2024-03-05,453,0,3,2.142857142857143
2024-03-06,484,0,3,2.142857142857143
2024-03-07,429,0,3,2.142857142857143
2024-03-08,447,0,3,2.142857142857143
2024-03-09,341,1,3,2.142857142857143
2024-03-10,304,1,3,2.142857142857143
2024-03-11,423,0,3,2.142857142857143
2024-03-12,434,0,3,2.142857142857143
2024-03-13,382,0,3,2.15625
2024-03-14,354,0,3,2.161290322580645
2024-03-15,372,0,3,2.1515151515151514
2024-03-16,331,1,3,2.142857142857143
2024-03-17,369,1,3,2.142857142857143
2024-03-18,468,0,3,2.142857142857143
2024-03-19,466,0,3,2.142857142857143
2024-03-20,442,0,3,2.142857142857143
2024-03-21,428,0,3,2.142857142857143
2024-03-22,369,0,3,2.1515151515151514
2024-03-23,341,1,3,2.142857142857143
2024-03-24,341,1,3,2.142857142857143
2024-03-25,370,0,3,2.1515151515151514
2024-03-26,336,0,3,2.15625
2024-03-27,408,0,3,2.142857142857143
2024-03-28,339,0,3,2.15625
2024-03-29,442,0,3,2.1515151515151514
2024-03-30,326,1,3,2.142857142857143
2024-03-31,310,1,3,2.176470588235294
