date,location,admission_count,disease_type,age_group,created_at,data_type,total_beds,icu_beds,available_beds
2024-01-01,Ho Chi Minh City,8.0,COVID-19,0-18,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,10.0,COVID-19,19-30,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,12.0,COVID-19,31-50,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,6.0,COVID-19,51-65,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,10.0,COVID-19,65+,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,18.0,Flu,0-18,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,15.0,Flu,19-30,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,18.0,Flu,31-50,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,9.0,Flu,51-65,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,12.0,Flu,65+,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,5.0,Pneumonia,0-18,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,7.0,Pneumonia,19-30,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,8.0,Pneumonia,31-50,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,4.0,Pneumonia,51-65,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,2.0,Pneumonia,65+,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,4.0,Heart Disease,0-18,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,6.0,Heart Disease,19-30,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,7.0,Heart Disease,31-50,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,7.0,Heart Disease,51-65,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,8.0,Heart Disease,65+,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,2.0,Diabetes,0-18,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,3.0,Diabetes,19-30,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,3.0,Diabetes,31-50,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,1.0,Diabetes,51-65,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,1.0,Diabetes,65+,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,2.0,Dengue Fever,0-18,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,2.0,Dengue Fever,19-30,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,3.0,Dengue Fever,31-50,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,1.0,Dengue Fever,51-65,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,1.0,Dengue Fever,65+,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,9.0,Others,0-18,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,11.0,Others,19-30,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,13.0,Others,31-50,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,6.0,Others,51-65,2025-08-21T10:56:55.216087,admissions,,,
2024-01-01,Ho Chi Minh City,4.0,Others,65+,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,9.0,COVID-19,0-18,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,11.0,COVID-19,19-30,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,13.0,COVID-19,31-50,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,6.0,COVID-19,51-65,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,11.0,COVID-19,65+,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,37.0,Flu,0-18,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,31.0,Flu,19-30,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,37.0,Flu,31-50,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,18.0,Flu,51-65,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,25.0,Flu,65+,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,6.0,Pneumonia,0-18,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,8.0,Pneumonia,19-30,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,9.0,Pneumonia,31-50,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,4.0,Pneumonia,51-65,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,3.0,Pneumonia,65+,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,4.0,Heart Disease,0-18,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,5.0,Heart Disease,19-30,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,6.0,Heart Disease,31-50,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,6.0,Heart Disease,51-65,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,7.0,Heart Disease,65+,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,3.0,Diabetes,0-18,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,4.0,Diabetes,19-30,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,5.0,Diabetes,31-50,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,2.0,Diabetes,51-65,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,1.0,Diabetes,65+,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,3.0,Dengue Fever,0-18,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,4.0,Dengue Fever,19-30,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,5.0,Dengue Fever,31-50,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,2.0,Dengue Fever,51-65,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,1.0,Dengue Fever,65+,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,12.0,Others,0-18,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,16.0,Others,19-30,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,19.0,Others,31-50,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,9.0,Others,51-65,2025-08-21T10:56:55.216087,admissions,,,
2024-01-02,Ho Chi Minh City,6.0,Others,65+,2025-08-21T10:56:55.216087,admissions,,,
2024-01-03,Ho Chi Minh City,9.0,COVID-19,0-18,2025-08-21T10:56:55.216087,admissions,,,
2024-01-03,Ho Chi Minh City,12.0,COVID-19,19-30,2025-08-21T10:56:55.216087,admissions,,,
2024-01-03,Ho Chi Minh City,14.0,COVID-19,31-50,2025-08-21T10:56:55.216087,admissions,,,
2024-01-03,Ho Chi Minh City,7.0,COVID-19,51-65,2025-08-21T10:56:55.216087,admissions,,,
2024-01-03,Ho Chi Minh City,12.0,COVID-19,65+,2025-08-21T10:56:55.216087,admissions,,,
2024-01-03,Ho Chi Minh City,24.0,Flu,0-18,2025-08-21T10:56:55.216087,admissions,,,
2024-01-03,Ho Chi Minh City,20.0,Flu,19-30,2025-08-21T10:56:55.216087,admissions,,,
2024-01-03,Ho Chi Minh City,24.0,Flu,31-50,2025-08-21T10:56:55.216087,admissions,,,
2024-01-03,Ho Chi Minh City,12.0,Flu,51-65,2025-08-21T10:56:55.216087,admissions,,,
2024-01-03,Ho Chi Minh City,16.0,Flu,65+,2025-08-21T10:56:55.216087,admissions,,,
2024-01-03,Ho Chi Minh City,5.0,Pneumonia,0-18,2025-08-21T10:56:55.216087,admissions,,,
2024-01-03,Ho Chi Minh City,6.0,Pneumonia,19-30,2025-08-21T10:56:55.216087,admissions,,,
2024-01-03,Ho Chi Minh City,7.0,Pneumonia,31-50,2025-08-21T10:56:55.216087,admissions,,,
2024-01-03,Ho Chi Minh City,3.0,Pneumonia,51-65,2025-08-21T10:56:55.216087,admissions,,,
2024-01-03,Ho Chi Minh City,2.0,Pneumonia,65+,2025-08-21T10:56:55.217087,admissions,,,
2024-01-03,Ho Chi Minh City,5.0,Heart Disease,0-18,2025-08-21T10:56:55.217087,admissions,,,
2024-01-03,Ho Chi Minh City,6.0,Heart Disease,19-30,2025-08-21T10:56:55.217087,admissions,,,
2024-01-03,Ho Chi Minh City,8.0,Heart Disease,31-50,2025-08-21T10:56:55.217087,admissions,,,
2024-01-03,Ho Chi Minh City,8.0,Heart Disease,51-65,2025-08-21T10:56:55.217087,admissions,,,
2024-01-03,Ho Chi Minh City,9.0,Heart Disease,65+,2025-08-21T10:56:55.217087,admissions,,,
2024-01-03,Ho Chi Minh City,4.0,Diabetes,0-18,2025-08-21T10:56:55.217087,admissions,,,
2024-01-03,Ho Chi Minh City,5.0,Diabetes,19-30,2025-08-21T10:56:55.217087,admissions,,,
2024-01-03,Ho Chi Minh City,6.0,Diabetes,31-50,2025-08-21T10:56:55.217087,admissions,,,
2024-01-03,Ho Chi Minh City,3.0,Diabetes,51-65,2025-08-21T10:56:55.217087,admissions,,,
2024-01-03,Ho Chi Minh City,2.0,Diabetes,65+,2025-08-21T10:56:55.217087,admissions,,,
2024-01-03,Ho Chi Minh City,2.0,Dengue Fever,0-18,2025-08-21T10:56:55.217087,admissions,,,
2024-01-03,Ho Chi Minh City,3.0,Dengue Fever,19-30,2025-08-21T10:56:55.217087,admissions,,,
2024-01-03,Ho Chi Minh City,3.0,Dengue Fever,31-50,2025-08-21T10:56:55.217087,admissions,,,
2024-01-03,Ho Chi Minh City,1.0,Dengue Fever,51-65,2025-08-21T10:56:55.217087,admissions,,,
2024-01-03,Ho Chi Minh City,1.0,Dengue Fever,65+,2025-08-21T10:56:55.217087,admissions,,,
2024-01-03,Ho Chi Minh City,14.0,Others,0-18,2025-08-21T10:56:55.217087,admissions,,,
