date,location,admission_count,disease_type,age_group,created_at
2024-01-01,Ho Chi Minh City,8,COVID-19,0-18,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,10,COVID-19,19-30,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,12,COVID-19,31-50,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,6,COVID-19,51-65,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,10,COVID-19,65+,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,18,Flu,0-18,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,15,Flu,19-30,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,18,Flu,31-50,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,9,Flu,51-65,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,12,Flu,65+,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,5,Pneumonia,0-18,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,7,Pneumonia,19-30,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,8,Pneumonia,31-50,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,4,Pneumonia,51-65,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,2,Pneumonia,65+,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,4,Heart Disease,0-18,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,6,Heart Disease,19-30,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,7,Heart Disease,31-50,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,7,Heart Disease,51-65,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,8,Heart Disease,65+,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,2,Diabetes,0-18,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,3,Diabetes,19-30,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,3,Diabetes,31-50,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,1,Diabetes,51-65,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,1,Diabetes,65+,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,2,Dengue Fever,0-18,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,2,Dengue Fever,19-30,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,3,Dengue Fever,31-50,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,1,Dengue Fever,51-65,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,1,Dengue Fever,65+,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,9,Others,0-18,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,11,Others,19-30,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,13,Others,31-50,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,6,Others,51-65,2025-08-21T10:56:55.216087
2024-01-01,Ho Chi Minh City,4,Others,65+,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,9,COVID-19,0-18,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,11,COVID-19,19-30,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,13,COVID-19,31-50,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,6,COVID-19,51-65,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,11,COVID-19,65+,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,37,Flu,0-18,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,31,Flu,19-30,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,37,Flu,31-50,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,18,Flu,51-65,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,25,Flu,65+,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,6,Pneumonia,0-18,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,8,Pneumonia,19-30,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,9,Pneumonia,31-50,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,4,Pneumonia,51-65,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,3,Pneumonia,65+,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,4,Heart Disease,0-18,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,5,Heart Disease,19-30,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,6,Heart Disease,31-50,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,6,Heart Disease,51-65,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,7,Heart Disease,65+,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,3,Diabetes,0-18,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,4,Diabetes,19-30,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,5,Diabetes,31-50,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,2,Diabetes,51-65,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,1,Diabetes,65+,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,3,Dengue Fever,0-18,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,4,Dengue Fever,19-30,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,5,Dengue Fever,31-50,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,2,Dengue Fever,51-65,2025-08-21T10:56:55.216087
